[I 2025-03-20 21:51:29,640] A new study created in memory with name: no-name-96cee79f-6e35-45db-aae4-f778d5285f6d
[I 2025-03-20 22:01:11,679] Trial 64 finished with value: 0.8802307724952696 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 89, 'dropout_l0': 0.4488747579785296, 'activation_l1': 'leaky_relu', 'n_units_l1': 34, 'dropout_l1': 0.387105104018914, 'learning_rate': 6.813239264494166e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:01:16,876] Trial 65 pruned. Trial was pruned at epoch 10.
[I 2025-03-20 22:01:28,911] Trial 66 finished with value: 0.8698461651802063 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 111, 'dropout_l0': 0.3028609081410145, 'activation_l1': 'leaky_relu', 'n_units_l1': 18, 'dropout_l1': 0.420005720036433, 'learning_rate': 1.8109792527655294e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:01:41,446] Trial 67 finished with value: 0.8866154074668884 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 75, 'dropout_l0': 0.3772926172956443, 'activation_l1': 'leaky_relu', 'n_units_l1': 39, 'dropout_l1': 0.4351362952364675, 'learning_rate': 4.031963167106694e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:01:49,097] Trial 68 finished with value: 0.8577307760715485 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 78, 'dropout_l0': 0.3797399303924418, 'activation_l1': 'leaky_relu', 'n_units_l1': 66, 'dropout_l1': 0.438855223289554, 'learning_rate': 4.00623502078751e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:01:58,891] Trial 69 finished with value: 0.8569230556488037 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 127, 'dropout_l0': 0.41416875541210774, 'activation_l1': 'leaky_relu', 'n_units_l1': 38, 'dropout_l1': 0.45944269118434133, 'learning_rate': 3.542869780272168e-05}. Best is trial 53 with value: 0.8876923263072967.
[I 2025-03-20 22:02:11,503] Trial 70 finished with value: 0.8904615223407744 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 88, 'dropout_l0': 0.33630347783559533, 'activation_l1': 'leaky_relu', 'n_units_l1': 56, 'dropout_l1': 0.43312734761328786, 'learning_rate': 2.6119474276204012e-05}. Best is trial 70 with value: 0.8904615223407744.
[I 2025-03-20 22:02:22,368] Trial 71 finished with value: 0.8573076963424682 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 87, 'dropout_l0': 0.36888676146825516, 'activation_l1': 'leaky_relu', 'n_units_l1': 44, 'dropout_l1': 0.43371204212707737, 'learning_rate': 2.5329982525490645e-05}. Best is trial 70 with value: 0.8904615223407744.
[I 2025-03-20 22:02:34,786] Trial 72 finished with value: 0.886692327260971 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 74, 'dropout_l0': 0.3356988508290335, 'activation_l1': 'leaky_relu', 'n_units_l1': 50, 'dropout_l1': 0.44926265546973654, 'learning_rate': 3.131484111720519e-05}. Best is trial 70 with value: 0.8904615223407744.
[I 2025-03-20 22:02:45,795] Trial 73 finished with value: 0.8780000150203704 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 56, 'dropout_l0': 0.35186727879808166, 'activation_l1': 'leaky_relu', 'n_units_l1': 55, 'dropout_l1': 0.4467725748571396, 'learning_rate': 3.069514312313005e-05}. Best is trial 70 with value: 0.8904615223407744.
[I 2025-03-20 22:02:54,662] Trial 74 finished with value: 0.8574615359306335 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 66, 'dropout_l0': 0.3306036294656249, 'activation_l1': 'leaky_relu', 'n_units_l1': 50, 'dropout_l1': 0.4282020732240276, 'learning_rate': 4.765349327647555e-05}. Best is trial 70 with value: 0.8904615223407744.
[I 2025-03-20 22:03:03,183] Trial 75 finished with value: 0.8308461427688598 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 75, 'dropout_l0': 0.3758571009236505, 'activation_l1': 'leaky_relu', 'n_units_l1': 56, 'dropout_l1': 0.4157903583553929, 'learning_rate': 3.563902406820319e-05}. Best is trial 70 with value: 0.8904615223407744.
[I 2025-03-20 22:03:14,029] Trial 76 finished with value: 0.8655384480953217 and parameters: {'activation_l0': 'elu', 'n_units_l0': 100, 'dropout_l0': 0.39467144509508434, 'activation_l1': 'elu', 'n_units_l1': 63, 'dropout_l1': 0.4036194420144014, 'learning_rate': 3.143930819288063e-05}. Best is trial 70 with value: 0.8904615223407744.
[I 2025-03-20 22:03:25,153] Trial 77 finished with value: 0.8780000150203704 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 62, 'dropout_l0': 0.357406669882165, 'activation_l1': 'leaky_relu', 'n_units_l1': 78, 'dropout_l1': 0.42529290639456996, 'learning_rate': 2.3354814846179152e-05}. Best is trial 70 with value: 0.8904615223407744.
[I 2025-03-20 22:03:35,348] Trial 78 finished with value: 0.8711922824382781 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 87, 'dropout_l0': 0.3402472859860372, 'activation_l1': 'leaky_relu', 'n_units_l1': 42, 'dropout_l1': 0.451709239493327, 'learning_rate': 5.8069729647353336e-05}. Best is trial 70 with value: 0.8904615223407744.
[I 2025-03-20 22:03:47,193] Trial 79 finished with value: 0.8662692487239837 and parameters: {'activation_l0': 'leaky_relu', 'n_units_l0': 72, 'dropout_l0': 0.4328279329048121, 'activation_l1': 'elu', 'n_units_l1': 69, 'dropout_l1': 0.4391066292320829, 'learning_rate': 2.702573466006184e-05}. Best is trial 70 with value: 0.8904615223407744.
[I 2025-03-20 22:03:52,502] Trial 80 pruned. Trial was pruned at epoch 10.
